Software Name,Amit's Notes,Version ,Software Classification,Operating system,Self service,Licenses Required,GITSC Ticket number,Remarks,Category,Application Lead,Software Manufacturer,Packaged,OSD,Core O/S - Technical,Vulnerable,Approved date,Scanned date,Additional action,Action Details,GIS Reco Action,Comment ,Resource,Sarah's comment,,Tanium Name,Tanium Vendor,Tanium version,Defender Name,Defender Vendor,Dedender Lastest version,,WS1 Hub,WCS Managed Group Name,Comment,Exception based,Assignment Mode,Pushed Globally,Visible in HUB (Self Service),OLD License Required,To be checked,,Software name + Version,Publisher updated,Publisher on Oomnitza list review,Feedback,Software name to be loaded in Oomnitza,Version to be loaded in Oomintza,Final Software name,Final Version
AC Nielsen Advisor,,7.6.6,Grey List,Windows OS,,Locally management,, ,Marketing,Christopher Bardi,ACNielsen,No,No,,Pending,2/23/2022,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,AC Nielsen Advisor 7.6.6 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Advisor Platform,,,Grey List,Windows OS,,Locally management,, ,Marketing,Lim Wei Chieh,ACNielsen,Yes,No,,No,7/19/2022,,Upgrade,Need to conform the current version.,no review comment,https://acnielsen-hads.software.informer.com/   latest version is available - 8.1,,,,,,,,,,,,,Check installations and validate with App lead,,,,,Site restricted licensing,,,AC Nielsen Advisor Platform  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Answers,,7.6.1,Green List,Windows OS,Yes,Centrally management,, ,Marketing,Christopher Bardi,ACNielsen,Yes,No,No,No,7/19/2022,,Upgrade,"check to see if upgrades are available, need access to site to see info",no review comment,no matches in cvedetails,,,,,,,,,,,Yes,N/A,,N/A,OnDemand,N/A,Yes,Global,,,AC Nielsen Answers 7.6.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Testim.io,,NA,Green List,Mac OS,,Locally management,42383264,To be checked by SAM,Marketing,Sudhakar Mane,Testim.io,No,No,,,6/15/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Testim.io NA Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Answers,,7.6.89,Grey List,Windows OS,,Locally management,41951246,,Marketing,Christopher Bardi,ACNielsen,No,No,,Pending,10/10/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,AC Nielsen Answers 7.6.89 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Answers Builder,,7.6.1,Grey List,Windows OS,Yes,Locally management,,,Marketing,Christopher Bardi,ACNielsen,Yes,No,No,No,8/6/2017,,Upgrade,"check to see if upgrades are available, need access to site to see info",no review comment,no matches in cvedetails,,,,,,,,,,,Yes,APP - AC Nielsen Answers 7.6.1 - Users - WIN,,Group managed,OnDemand,No,No,Global,,,AC Nielsen Answers Builder 7.6.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Answers desktop,,7.6.91,Grey List,Windows OS,,Locally management,42149144,,Marketing,Sudhakar Mane,ACNielsen,Yes,No,,Pending,7/19/2022,,,,no review comment,,,,,,,,,,,,Yes,APP - AC Nielsen Answers  7.6.91 - Users - WIN,,Group managed,OnDemand,No,No,Site restricted licensing,,,AC Nielsen Answers desktop 7.6.91 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Answers Digital Certificate Update,,4.0.2.0,Grey List,Windows OS,,Locally management,42216695,,Analytics,Tommy Thomas,ACNielsen,Yes,No,,No,7/19/2022,,,,,42216695,,,,,,,,,,,Yes,APP - Nielsen Answers Digital Certificate Update 4.0.2.0 - Users - WIN,,Group managed,OnDemand,No,No,Site restricted licensing,,,AC Nielsen Answers Digital Certificate Update 4.0.2.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Builder,,7.6.89,Grey List,Windows OS,,Locally management,41951246,,Marketing,Christopher Bardi,ACNielsen,No,No,,Pending,7/19/2022,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,AC Nielsen Builder 7.6.89 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Nitro along with Digital certificate Updater 2018,,4.2.2,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Aditya Agarwal,ACNielsen,Yes,No,,No,10/9/2022,,, ,no review comment,No public information is available,,,,,,,,,,,,,Cat lead are working on that,,,,,Site restricted licensing,,,AC Nielsen Nitro along with Digital certificate Updater 2018 4.2.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Spaceman,,12.2,Grey List,Windows OS,,Locally management,41572926, ,Customer Development,Esme Basson,ACNielsen,No,No,,Pending,4/25/2024,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,Site restricted licensing,,,AC Nielsen Spaceman 12.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Spaceman,,12.5,Grey List,Windows OS,,Locally management,41793526, ,Customer Development,Aravind Tula,ACNielsen,No,No,,Pending,7/19/2022,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,AC Nielsen Spaceman 12.5 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Spaceman,,12.6,Grey List,Windows OS,,Locally management,42151696,,Marketing,Sudhakar Mane,ACNielsen,No,No,,Pending,7/19/2022,,,,no review comment,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,AC Nielsen Spaceman 12.6 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Spaceman,,12.1.3.49,Grey List,Windows OS,,Locally management,, Patrick Curran,Customer Development,Ricardo Perez,ACNielsen,No,No,,Pending,9/11/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,AC Nielsen Spaceman 12.1.3.49 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Spaceman,,12.1O,Grey List,Windows OS,,Locally management,42228425,,Customer Development,Esme Basson,ACNielsen,No,No,,No,5/26/2021,5/31/2021,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,AC Nielsen Spaceman 12.1O Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Spaceman,,12.3.0.1,Grey List,Windows OS,,Locally management,, ,Finance,Reena Jose,ACNielsen,Yes,No,,Pending,8/6/2017,,,,no review comment,No much information available about this on public domain. Security scan is preferred ,,,,,,,,,,,Yes,APP - AC Nielsen Spaceman - Users - WIN,Validate with App lead,Group managed,OnDemand,No,No,Site restricted licensing,,,AC Nielsen Spaceman 12.3.0.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Accelrys Draw/Biovia Draw,,,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,Dassault Systèmes,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Accelrys Draw/Biovia Draw  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Access control System,,19.01.02.0,Grey List,Windows OS,,Locally management,42225853,,Supply Chain,Nicola Rautenbach,Secureye,No,No,,No,5/18/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,Access control System 19.01.02.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ACN-HADS,,N\A,Grey List,Windows OS,,Locally management,, ,Marketing,Christopher Bardi,ACNielsen,Yes,No,,No,8/6/2017,,None,No action required,no review comment,"https://www.simba.com/drivers/bigquery-odbc-jdbc/, up to the latest Current Version: ODBC 2.2.3 | JDBC 1.2.4",,,,,,,,,,,,,Check installations and validate with App lead,,,,,Site restricted licensing,,,ACN-HADS N\A Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
acSELerator RTAC Software,,"SEL-5033",Grey List,Windows OS,,Locally management,42319736,,Supply Chain,Simon Kendall,Schweitzer Engineering,No,No,,,1/5/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,"acSELerator RTAC Software SEL-5033 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ACT Enterprise server Vanderbilt,,2.8.0.44,Grey List,Windows OS,,Locally management,41815167, ,W&CS ISM,Patty Vollmar,Vanderbilt Industries,No,No,,Pending,2/25/2019,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,ACT Enterprise server Vanderbilt 2.8.0.44 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ADAM-4000-5000Utility,,4.00.06,Grey List,Windows OS,,Locally management,42068300,,Supply Chain,Aditya Agarwal,Advantech,No,No,,Pending,6/2/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,ADAM-4000-5000Utility 4.00.06 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ADB Driver Installer,,2,Grey List,Windows OS,,Locally management,42235439,,Supply Chain,Francisco Ramos,ADB,No,No,Yes,No,7/5/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,ADB Driver Installer 2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Admin-PKI,,5.2.3,Grey List,Windows OS,,Locally management,42269043,,W&CS ISM,Patty Vollmar,signal,No,No,,No,9/1/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,Admin-PKI 5.2.3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe 10.0 Extended Font,,10,Green List,Windows OS,,Centrally management,, ,W&CS E2E,Ganesh Sankararaman,Adobe,Yes,No,No,No,8/6/2017,,None,no action required,no action required,no matches in cvedetails,,WCS,,,,,,,,,,,Decommission proposal  - Check current installations with Rajeet,,,,,Global,,,Adobe 10.0 Extended Font 10 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Acrobat Reader DC,,Auto Update,Green List,Windows OS,,Centrally management,, ,W&CS E2E,Ganesh Sankararaman,Adobe,Yes,Yes,No,No,7/21/2020,,Upgrade,update to latest version,no review comment,"Ticket 42229413
https://aodocs.altirnao.com/?locale=en_US&aodocs-domain=colpal.com#Menu_viewDoc/LibraryId_SCHp23iuZXMJff84vk/ViewId_SCI6ewXuwJ0C3aAlil/DocumentId_SYQ0aWS0OMGzdwDBPI",,WCS,,,,,,,,,Yes,NA,shoppable after July,,Auto,Yes,Yes,Global,,,Adobe Acrobat Reader DC Auto Update Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Acrobat Reader DC Font Pack,,19.x,Grey List,Windows OS,,Locally management,41892306,,Finance,Anne-Marie Fitzpatrick,Adobe,No,No,,Pending,7/10/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Adobe Acrobat Reader DC Font Pack 19.x Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe XD,,n/a,Grey List,Windows OS,,Locally management,42007534,,Global Technology (R&D),Frank Peake,Adobe,No,No,,Pending,1/28/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Adobe XD n/a Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe After Effects,,24.3,Grey List,Mac OS,,Locally management,SR-539901,,SAM,itsam@colpal.com,Adobe,WIP,,,,5/20/2024,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Adobe After Effects 24.3 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Active Control Gui,,8.5.2120,Grey List,Windows OS,,Locally management,SR-439525,,GIT Governance,Sarah Henriquez,https://www.basistechnologies.com/,WIP,,,,1/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Air,,2.6,Green List,Windows OS,,Centrally management,, ,W&CS E2E,Ganesh Sankararaman,Adobe,No,No,No,No,8/6/2017,,Upgrade,,no review comment,no matches in cvedetails,,,,,,,,,,,No,,Decommission proposal - Follow up w/App lead,,,,,Global,,,Adobe Air 2.6 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Air,,32,Grey List,Windows OS,,Locally management,41895075,,Customer Development,Reena Jose,Adobe,No,No,,Pending,7/18/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Adobe Air 32 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Air,,32.0.0.125,Grey List,Windows OS,,Locally management,41895075,,Customer Development,Reena Jose,Adobe,No,No,,Pending,7/18/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Adobe Air 32.0.0.125 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe CC,,2019.0,Grey List,Windows OS,,Locally management,41851019,,Marketing,Christopher Bardi,Adobe,No,No,,Pending,4/10/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Adobe CC 2019 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Connect Addin,,,Grey List,Windows OS,,Locally management,, ,HR & Training,Tham Le,Adobe,No,No,,Pending,8/6/2017,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Adobe Connect Addin  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe DC ( Chinese Font),,Latest Version,Grey List,Windows OS,,Locally management,, ,Customer Development,Reena Jose,Adobe,No,No,,Pending,4/13/2018,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Adobe DC ( Chinese Font) Latest Version Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe DC (Thailand),,2019.008.20071,Grey List,Windows OS,,Locally management,41402591,Maneerath Pornchuaykanchana,W&CS ISM,Maneerath Pornchuaykanchana,Adobe,No,No,,Pending,10/10/2018,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Adobe DC (Thailand) 2019.008.20071 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Digital Editions,,4.5.10,Grey List,Windows OS,,Locally management,41995804,,Governance,Alberto Rebolledo,Adobe,No,No,,Yes,1/7/2020,,,Adobe Digital Editions should be updated to 4.5.11.187606,no review comment,"CVE-2021-21100
https://helpx.adobe.com/security/products/Digital-Editions/apsb21-26.html

",,,,,,,,,,,,,,,,,,Check before installation,,,Adobe Digital Editions 4.5.10 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Dreamweaver,,CS5,Grey List,Windows OS,,Locally management,, ,HR & Training,Nayana Pai,Adobe,Yes,No,,No,8/6/2017,,Upgrade,Version upgration and VT scan is recommended.,no review comment,https://helpx.adobe.com/download-install/kb/acrobat-downloads.html,,,,,,,,,,,,,Check installations and validate with App lead,,,,,Site restricted licensing,,,Adobe Dreamweaver CS5 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Dynamic Media Classic desktop app,,"20.20.2",Grey List,Windows OS,,Locally management,42175490,,Customer Development,Aravind Tula,Adobe,No,No,,No,1/25/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,"Adobe Dynamic Media Classic desktop app 20.20.2 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Aic-installer-,,1.5.18.18,Grey List,Windows OS,,Locally management,42075324,,Supply Chain,Francisco Ramos,Artec3D,No,No,,Pending,6/17/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Aic-installer- 1.5.18.18 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Acrobat Standard ,,2020,Grey List,Windows OS,,Locally management,SR-205788,,W&CS E2E,Dien Do Nguyen,Adobe,No,No,,,8/4/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Illustrator,,CS6,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Aditya Agarwal,Adobe,Yes,No,,Yes,8/6/2017,,, ,no review comment,"Exploit available, Severity: High  https://www.cybersecurity-help.cz/vdb/SB2018031332, https://nvd.nist.gov/vuln/detail/CVE-2010-3132",,40 users,,,,,,,,,,,Cat lead are working on that,,,,,Site restricted licensing,,,Adobe Illustrator CS6 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alibaba Wireless Cast,,NA,Grey List,Windows OS,,Locally management,41990842,,Customer Development,Reena Jose,Alibaba,No,No,,Pending,1/7/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Alibaba Wireless Cast NA Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Affixa Enterprise (MapiDotNet),,1.5,Green List,Windows OS,,Centrally management,,MapiDotNet version,Collaboration,Roger Rowan,Notably Good,Yes,No,No,No,8/16/2017,,None,no action required,no review comment,"no matches in cvedetails, no vulnerability findings in Google",,,,,,,,,,,Yes,NA,,,OnDemand,Yes,Yes,Global,,,Affixa Enterprise (MapiDotNet) 1.5 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Advance.im (Celsis advance),,3.1,Grey List,Windows OS,,Locally management,41848967,,Supply Chain,Nicola Rautenbach,Charles River Laboratories,No,No,,Pending,4/11/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Advance.im (Celsis advance) 3.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Advance II.im,,"4.0.6.0
",Grey List,Windows OS,,Locally management,42240402,,Supply Chain,Francisco Ramos,Charles River Laboratories,No,No,,No,7/29/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,"Advance II.im 4.0.6.0
 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Premier Element,,13,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Aditya Agarwal,Adobe,Yes,No,,Yes,8/6/2017,,, ,no review comment,"CVE-2019-7968
Adobe Photoshop CC versions 19.1.8 and earlier and 20.0.5 and earlier have a command injection vulnerability. Successful exploitation could lead to arbitrary code execution.-----CVE-2019-7968   https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-7968, https://helpx.adobe.com/security/products/photoshop/apsb20-45.html",,17 users,,,,,,,,,,,Cat lead are working on that,,,,,Site restricted licensing,,,Adobe Premier Element 13 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Premiere Pro,,2020,Grey List,Windows OS,,Locally management,42096486,42096486 / 42104673 ,Legal,Manoj Nair,Adobe,No,No,,Pending,8/6/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Adobe Premiere Pro 2020 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Premiere Pro,,2021,Grey List,Windows OS,,Locally management,42242779,,Supply Chain,Nicola Rautenbach,Adobe,No,No,,No,7/6/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Adobe Premiere Pro 2021 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Acrobat Reader DC,,Auto Update,Green List,Mac OS,,Centrally management,42292622,,W&CS E2E,Ganesh Sankararaman,Adobe,Yes,Yes,No,,10/27/2021,,,,,,,,,,,,,,,,Yes,NA,,,Auto,Yes,Yes,Global,,,Adobe Acrobat Reader DC Auto Update Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Shockwave,,11,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Frank Peake,Adobe,Yes,No,,Pending,8/6/2017,,, ,no review comment,"No public information available, recommended VT scan",,,,,,,,,,,,,Cat lead are working on that,,,,,Site restricted licensing,,,Adobe Shockwave 11 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Systems,,26,Grey List,Windows OS,,Locally management,, ,W&CS E2E,Jim Arcure,Adobe,No,No,,Pending,8/6/2017,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Adobe Systems 26 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe_CC,,2019,Grey List,Windows OS,,Locally management,41851019,,Marketing,Christopher Bardi,Adobe,Yes,No,,No,4/10/2019,,Upgrade,Version upgration and VT scan is recommended.,no review comment,https://helpx.adobe.com/download-install/kb/acrobat-downloads.html,,,,,,,,,,,Yes,APP - Adobe CC 2019 - Users -WIN,,Group managed,OnDemand,No,No,Site restricted licensing,,,Adobe_CC 2019 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe After Effects,,24.3,Grey List,Windows OS,,Locally management,SR-539902,,SAM,itsam@colpal.com,Adobe,WIP,,,,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Acrobat Standard ,,22,Grey List,Windows OS,,Locally management,SR-9388,,W&CS E2E,Dirk Sahner,Adobe,Yes,No,No,,1/24/2023,,,,,,,,,,,,,,,,Yes,APP - Adobe Acrobat STD - Users - WIN,,Group managed,OnDemand,No,No,,,,,,,,#N/A,#N/A,#N/A,#N/A
